title,date,description,source_url
Ctrl+Alt+Hire: How Delhi crime branch exposed high-tech remote access scam in police exams,,"Raj Shekhar Jha is a journalist for the Times of India with over a decade of experience in reporting on national security, terrorism, crime and prisons.",https://timesofindia.indiatimes.com/city/delhi/ssc-exam-racket-busted-16-arrested-including-cops-as-remote-access-cheating-network-exposed-across-states/articleshow/130211849.cms
ASI injured in knife attack by burglars during raid in Delhiâs Hari Nagar,,"Abhay is a Special Correspondent at The Times of India, Delhi, with extensive experience in investigative journalism. Since 2014, he has been covering crime and prisons, providing in-depth analysis and thought-provoking reports.Read More",https://timesofindia.indiatimes.com/city/delhi/asi-injured-in-knife-attack-by-burglars-during-raid-in-delhis-hari-nagar/articleshow/130224281.cms
26-year-old held for acid attack on boyfriendâs bride-to-be in Delhi,,"The TOI City Desk is an indefatigable team of journalists dedicated to bringing you the pulse of cities from across the nation, all day and all night. Our mission is to curate, report, and deliver city news that matters to readers of The Times of India. With a keen focus on urban life, governance, culture, and local issues, we provide a comprehensive view of the ever-evolving cityscapes. Our team works tirelessly to keep readers informed about the latest developments, ensuring that they are connected to the heartbeat of cities across India, right when it happens. The TOI City Desk is a trusted source for staying in touch with the local stories that shape your world.Read More",https://timesofindia.indiatimes.com/city/delhi/26-year-old-held-for-acid-attack-on-boyfriends-bride-to-be-in-delhi/articleshow/130276543.cms
Delhi Police Freezes â¹5 Crore Assets of History-Sheeter and Wife in Organised Crime Case,,,https://timesofindia.indiatimes.com/city/delhi/delhi-police-freezes-5-crore-assets-of-history-sheeter-and-wife-in-organised-crime-case/articleshow/130290910.cms
"Delhi man murders wife after late-night tiff, surrenders before police",,"Abhay is a Special Correspondent at The Times of India, Delhi, with extensive experience in investigative journalism. Since 2014, he has been covering crime and prisons, providing in-depth analysis and thought-provoking reports.Read More",https://timesofindia.indiatimes.com/city/delhi/delhi-man-murders-wife-after-late-night-tiff-surrenders-before-police/articleshow/130280483.cms
"Delhi man stabbed to death after refusing to give matchbox; 3 arrested, minor held",,,https://timesofindia.indiatimes.com/city/delhi/man-killed-for-refusing-matchbox-3-arrested-minor-held/articleshow/130291847.cms
